CUDA Memory Cleared. Current VRAM Usage: 0.00 MB
On device cuda
Getting data loader crumb
Total unique classes found: 2
Label IDs: [0, 1]
Total images in dataset: 2003
Total batches: 86 (at batch size 16)

============================================================
Run 1/1  |  seed=43  |  results -> results/robust_classification/run_20260630_223516_seed43
============================================================

Training robust_classification for 200 epochs
  Batch   0 | t=[0,0] | loss=0.7497 | acc=4/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [2] pred=0 true=1 t=0, [3] pred=0 true=1 t=0, [4] pred=0 true=1 t=0, [5] pred=0 true=1 t=0, [6] pred=0 true=1 t=0, [7] pred=1 true=0 t=0, [9] pred=1 true=0 t=0, [10] pred=1 true=0 t=0, [11] pred=0 true=1 t=0, [14] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch   1 | t=[0,0] | loss=0.6839 | acc=9/16 | MISCLASSIFIED: [2] pred=0 true=1 t=0, [6] pred=0 true=1 t=0, [7] pred=0 true=1 t=0, [8] pred=0 true=1 t=0, [12] pred=0 true=1 t=0, [13] pred=0 true=1 t=0, [15] pred=1 true=0 t=0
  Batch   2 | t=[0,0] | loss=0.6639 | acc=10/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [2] pred=1 true=0 t=0, [6] pred=0 true=1 t=0, [11] pred=1 true=0 t=0, [12] pred=1 true=0 t=0, [13] pred=1 true=0 t=0
  Batch   3 | t=[0,0] | loss=0.6675 | acc=10/16 | MISCLASSIFIED: [2] pred=0 true=1 t=0, [4] pred=1 true=0 t=0, [6] pred=1 true=0 t=0, [12] pred=1 true=0 t=0, [13] pred=1 true=0 t=0, [14] pred=1 true=0 t=0
  Batch   4 | t=[0,0] | loss=0.7022 | acc=7/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [1] pred=1 true=0 t=0, [2] pred=1 true=0 t=0, [3] pred=1 true=0 t=0, [6] pred=1 true=0 t=0, [9] pred=0 true=1 t=0, [11] pred=0 true=1 t=0, [12] pred=1 true=0 t=0, [13] pred=1 true=0 t=0
  Batch   5 | t=[0,0] | loss=0.7199 | acc=7/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [1] pred=1 true=0 t=0, [3] pred=1 true=0 t=0, [4] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [6] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [14] pred=1 true=0 t=0, [15] pred=1 true=0 t=0
  Batch   6 | t=[0,0] | loss=0.6899 | acc=9/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [2] pred=1 true=0 t=0, [3] pred=1 true=0 t=0, [6] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [10] pred=1 true=0 t=0, [12] pred=1 true=0 t=0
  Batch   7 | t=[0,0] | loss=0.6559 | acc=10/16 | MISCLASSIFIED: [5] pred=1 true=0 t=0, [6] pred=0 true=1 t=0, [8] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [11] pred=1 true=0 t=0, [13] pred=1 true=0 t=0
  Batch   8 | t=[0,0] | loss=0.6682 | acc=10/16 | MISCLASSIFIED: [1] pred=1 true=0 t=0, [2] pred=0 true=1 t=0, [4] pred=0 true=1 t=0, [13] pred=0 true=1 t=0, [14] pred=0 true=1 t=0, [15] pred=1 true=0 t=0
  Batch   9 | t=[0,0] | loss=0.5571 | acc=13/16 | MISCLASSIFIED: [7] pred=0 true=1 t=0, [10] pred=0 true=1 t=0, [13] pred=0 true=1 t=0
  Batch  10 | t=[0,0] | loss=0.6378 | acc=10/16 | MISCLASSIFIED: [6] pred=0 true=1 t=0, [7] pred=0 true=1 t=0, [8] pred=0 true=1 t=0, [13] pred=0 true=1 t=0, [14] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  11 | t=[0,0] | loss=0.6471 | acc=11/16 | MISCLASSIFIED: [5] pred=0 true=1 t=0, [8] pred=0 true=1 t=0, [10] pred=0 true=1 t=0, [12] pred=0 true=1 t=0, [13] pred=0 true=1 t=0
  Batch  12 | t=[0,0] | loss=1.2198 | acc=5/16 | MISCLASSIFIED: [1] pred=0 true=1 t=0, [2] pred=0 true=1 t=0, [3] pred=0 true=1 t=0, [5] pred=0 true=1 t=0, [8] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [10] pred=0 true=1 t=0, [12] pred=0 true=1 t=0, [13] pred=0 true=1 t=0, [14] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  13 | t=[0,0] | loss=0.9682 | acc=6/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [1] pred=0 true=1 t=0, [3] pred=0 true=1 t=0, [4] pred=0 true=1 t=0, [6] pred=0 true=1 t=0, [8] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [12] pred=0 true=1 t=0, [14] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  14 | t=[0,0] | loss=0.6721 | acc=7/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [1] pred=1 true=0 t=0, [2] pred=0 true=1 t=0, [3] pred=0 true=1 t=0, [4] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [10] pred=0 true=1 t=0, [11] pred=0 true=1 t=0, [12] pred=1 true=0 t=0
  Batch  15 | t=[0,0] | loss=0.7600 | acc=7/16 | MISCLASSIFIED: [1] pred=1 true=0 t=0, [6] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [8] pred=1 true=0 t=0, [10] pred=1 true=0 t=0, [11] pred=1 true=0 t=0, [12] pred=1 true=0 t=0, [13] pred=1 true=0 t=0, [14] pred=1 true=0 t=0
  Batch  16 | t=[0,0] | loss=0.7791 | acc=7/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [3] pred=1 true=0 t=0, [6] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [9] pred=1 true=0 t=0, [11] pred=1 true=0 t=0, [12] pred=1 true=0 t=0, [14] pred=1 true=0 t=0, [15] pred=1 true=0 t=0
  Batch  17 | t=[0,0] | loss=0.6826 | acc=9/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [4] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [8] pred=1 true=0 t=0, [9] pred=1 true=0 t=0, [13] pred=1 true=0 t=0, [15] pred=1 true=0 t=0
  Batch  18 | t=[0,0] | loss=0.8294 | acc=6/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [4] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [6] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [11] pred=1 true=0 t=0, [12] pred=1 true=0 t=0, [13] pred=1 true=0 t=0, [14] pred=1 true=0 t=0, [15] pred=1 true=0 t=0
  Batch  19 | t=[0,0] | loss=0.5745 | acc=13/16 | MISCLASSIFIED: [5] pred=0 true=1 t=0, [10] pred=1 true=0 t=0, [13] pred=1 true=0 t=0
  Batch  20 | t=[0,0] | loss=0.6235 | acc=10/16 | MISCLASSIFIED: [1] pred=1 true=0 t=0, [2] pred=0 true=1 t=0, [4] pred=0 true=1 t=0, [7] pred=0 true=1 t=0, [10] pred=1 true=0 t=0, [11] pred=1 true=0 t=0
  Batch  21 | t=[0,0] | loss=0.7531 | acc=9/16 | MISCLASSIFIED: [2] pred=0 true=1 t=0, [4] pred=1 true=0 t=0, [5] pred=0 true=1 t=0, [7] pred=0 true=1 t=0, [10] pred=0 true=1 t=0, [11] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  22 | t=[0,0] | loss=0.8063 | acc=5/16 | MISCLASSIFIED: [1] pred=0 true=1 t=0, [2] pred=0 true=1 t=0, [4] pred=0 true=1 t=0, [7] pred=1 true=0 t=0, [8] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [11] pred=0 true=1 t=0, [12] pred=0 true=1 t=0, [13] pred=0 true=1 t=0, [14] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  23 | t=[0,0] | loss=0.6072 | acc=10/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [6] pred=0 true=1 t=0, [7] pred=1 true=0 t=0, [8] pred=0 true=1 t=0, [12] pred=0 true=1 t=0, [14] pred=0 true=1 t=0
  Batch  24 | t=[0,0] | loss=0.6609 | acc=8/16 | MISCLASSIFIED: [5] pred=1 true=0 t=0, [6] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [8] pred=0 true=1 t=0, [10] pred=0 true=1 t=0, [11] pred=0 true=1 t=0, [12] pred=1 true=0 t=0, [15] pred=0 true=1 t=0
  Batch  25 | t=[0,0] | loss=0.6661 | acc=8/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [1] pred=1 true=0 t=0, [3] pred=1 true=0 t=0, [4] pred=1 true=0 t=0, [8] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [12] pred=0 true=1 t=0, [14] pred=1 true=0 t=0
  Batch  26 | t=[0,0] | loss=0.5978 | acc=13/16 | MISCLASSIFIED: [6] pred=1 true=0 t=0, [9] pred=1 true=0 t=0, [14] pred=1 true=0 t=0
  Batch  27 | t=[0,0] | loss=0.5990 | acc=11/16 | MISCLASSIFIED: [2] pred=0 true=1 t=0, [7] pred=1 true=0 t=0, [8] pred=1 true=0 t=0, [11] pred=1 true=0 t=0, [14] pred=1 true=0 t=0
  Batch  28 | t=[0,0] | loss=0.6806 | acc=8/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [3] pred=1 true=0 t=0, [4] pred=1 true=0 t=0, [5] pred=0 true=1 t=0, [6] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [13] pred=1 true=0 t=0, [14] pred=1 true=0 t=0
  Batch  29 | t=[0,0] | loss=0.5510 | acc=10/16 | MISCLASSIFIED: [1] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [8] pred=0 true=1 t=0, [12] pred=1 true=0 t=0, [13] pred=1 true=0 t=0, [14] pred=1 true=0 t=0
  Batch  30 | t=[0,0] | loss=0.6930 | acc=9/16 | MISCLASSIFIED: [2] pred=0 true=1 t=0, [4] pred=0 true=1 t=0, [5] pred=1 true=0 t=0, [10] pred=1 true=0 t=0, [12] pred=0 true=1 t=0, [14] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  31 | t=[0,0] | loss=0.5226 | acc=14/16 | MISCLASSIFIED: [7] pred=1 true=0 t=0, [13] pred=0 true=1 t=0
  Batch  32 | t=[0,0] | loss=0.7077 | acc=11/16 | MISCLASSIFIED: [1] pred=0 true=1 t=0, [5] pred=0 true=1 t=0, [7] pred=1 true=0 t=0, [8] pred=0 true=1 t=0, [10] pred=0 true=1 t=0
  Batch  33 | t=[0,0] | loss=0.5139 | acc=14/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [11] pred=1 true=0 t=0
  Batch  34 | t=[0,0] | loss=0.7628 | acc=8/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [2] pred=0 true=1 t=0, [6] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [10] pred=0 true=1 t=0, [11] pred=0 true=1 t=0, [12] pred=0 true=1 t=0, [14] pred=1 true=0 t=0
  Batch  35 | t=[0,0] | loss=0.6264 | acc=11/16 | MISCLASSIFIED: [2] pred=0 true=1 t=0, [3] pred=1 true=0 t=0, [6] pred=1 true=0 t=0, [10] pred=1 true=0 t=0, [13] pred=0 true=1 t=0
  Batch  36 | t=[0,0] | loss=0.4262 | acc=14/16 | MISCLASSIFIED: [11] pred=1 true=0 t=0, [14] pred=1 true=0 t=0
  Batch  37 | t=[0,0] | loss=0.9872 | acc=7/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [2] pred=1 true=0 t=0, [4] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [8] pred=1 true=0 t=0, [11] pred=1 true=0 t=0, [12] pred=1 true=0 t=0, [13] pred=1 true=0 t=0, [15] pred=1 true=0 t=0
  Batch  38 | t=[0,0] | loss=0.6681 | acc=9/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [2] pred=1 true=0 t=0, [8] pred=1 true=0 t=0, [9] pred=1 true=0 t=0, [10] pred=1 true=0 t=0, [13] pred=1 true=0 t=0, [14] pred=1 true=0 t=0
  Batch  39 | t=[0,0] | loss=0.8101 | acc=11/16 | MISCLASSIFIED: [2] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [8] pred=1 true=0 t=0, [13] pred=1 true=0 t=0, [14] pred=1 true=0 t=0
  Batch  40 | t=[0,0] | loss=0.6297 | acc=10/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [2] pred=1 true=0 t=0, [7] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [12] pred=1 true=0 t=0, [14] pred=1 true=0 t=0
  Batch  41 | t=[0,0] | loss=0.6639 | acc=11/16 | MISCLASSIFIED: [6] pred=0 true=1 t=0, [7] pred=1 true=0 t=0, [8] pred=0 true=1 t=0, [11] pred=1 true=0 t=0, [13] pred=1 true=0 t=0
  Batch  42 | t=[0,0] | loss=0.5354 | acc=12/16 | MISCLASSIFIED: [5] pred=0 true=1 t=0, [7] pred=1 true=0 t=0, [8] pred=1 true=0 t=0, [9] pred=0 true=1 t=0
  Batch  43 | t=[0,0] | loss=0.7822 | acc=7/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [1] pred=0 true=1 t=0, [2] pred=0 true=1 t=0, [5] pred=0 true=1 t=0, [6] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [10] pred=0 true=1 t=0, [11] pred=0 true=1 t=0, [14] pred=0 true=1 t=0
  Batch  44 | t=[0,0] | loss=0.5258 | acc=11/16 | MISCLASSIFIED: [6] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [11] pred=0 true=1 t=0, [13] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  45 | t=[0,0] | loss=0.7418 | acc=8/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [3] pred=0 true=1 t=0, [5] pred=0 true=1 t=0, [6] pred=0 true=1 t=0, [7] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [10] pred=0 true=1 t=0, [11] pred=0 true=1 t=0
  Batch  46 | t=[0,0] | loss=0.9879 | acc=8/16 | MISCLASSIFIED: [1] pred=0 true=1 t=0, [2] pred=0 true=1 t=0, [3] pred=0 true=1 t=0, [4] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [11] pred=0 true=1 t=0, [13] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  47 | t=[0,0] | loss=0.6674 | acc=10/16 | MISCLASSIFIED: [2] pred=0 true=1 t=0, [3] pred=0 true=1 t=0, [4] pred=0 true=1 t=0, [7] pred=1 true=0 t=0, [13] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  48 | t=[0,0] | loss=0.4939 | acc=13/16 | MISCLASSIFIED: [2] pred=0 true=1 t=0, [7] pred=1 true=0 t=0, [13] pred=0 true=1 t=0
  Batch  49 | t=[0,0] | loss=0.7629 | acc=9/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [1] pred=1 true=0 t=0, [4] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [8] pred=1 true=0 t=0, [14] pred=1 true=0 t=0
