Source pickle: batches/CRUMB_batches/data_batch_1
Keys: ['batch_label', 'labels', 'complete_labels', 'data', 'filenames']
batch_label: training batch 1 of 6
data shape: (300, 150, 150)
Number of sources: 300

filename                                                labels complete_labels(MiraBest,FR-DEEP,AT17,Hybrid)
----------------------------------------------------------------------------------------------------------------------------------
./CombinedCat/PNG/Scaled_Final/000.880_+000.468.png          0 [np.int64(-1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/007.254_-001.228.png          0 [np.int64(-1), np.int64(0), np.int64(0), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/009.877_-010.539.png          0 [np.int64(-1), np.int64(0), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/010.451_-009.284.png          0 [np.int64(0), np.int64(0), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/010.753_-009.230.png          0 [np.int64(-1), np.int64(0), np.int64(0), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/010.804_-010.666.png          0 [np.int64(3), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/011.377_-000.796.png          0 [np.int64(-1), np.int64(0), np.int64(0), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/014.008_-001.340.png          0 [np.int64(-1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/014.084_-009.608.png          0 [np.int64(2), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/014.259_-000.875.png          0 [np.int64(3), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/016.236_+000.073.png          0 [np.int64(0), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/016.732_+000.523.png          0 [np.int64(0), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/018.230_-009.845.png          0 [np.int64(-1), np.int64(0), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/019.756_-010.058.png          0 [np.int64(-1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/022.887_+000.556.png          0 [np.int64(3), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/023.364_-008.405.png          0 [np.int64(3), np.int64(0), np.int64(0), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/023.553_-001.125.png          0 [np.int64(-1), np.int64(0), np.int64(0), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/023.764_-000.908.png          0 [np.int64(-1), np.int64(0), np.int64(0), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/025.123_+000.307.png          0 [np.int64(-1), np.int64(0), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/028.224_-000.168.png          0 [np.int64(-1), np.int64(0), np.int64(0), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/030.033_+000.024.png          0 [np.int64(0), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/032.718_-006.560.png          0 [np.int64(-1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/033.146_-008.344.png          0 [np.int64(-1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/034.090_-002.738.png          0 [np.int64(-1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/035.887_-008.961.png          0 [np.int64(1), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/037.617_+001.147.png          0 [np.int64(1), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/038.828_-000.214.png          0 [np.int64(3), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/041.552_-008.799.png          0 [np.int64(-1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/043.115_-007.935.png          0 [np.int64(-1), np.int64(0), np.int64(0), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/043.658_+000.939.png          0 [np.int64(-1), np.int64(0), np.int64(0), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/107.107_+054.148.png          0 [np.int64(-1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/108.524_+051.002.png          0 [np.int64(-1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/108.599_+040.268.png          0 [np.int64(-1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/109.171_+053.386.png          0 [np.int64(-1), np.int64(-1), np.int64(1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/111.131_+050.182.png          0 [np.int64(-1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/111.856_+031.157.png          0 [np.int64(-1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/112.373_+059.828.png          0 [np.int64(-1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/112.560_+039.533.png          0 [np.int64(-1), np.int64(0), np.int64(0), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/112.711_+044.934.png          0 [np.int64(3), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/113.035_+043.971.png          0 [np.int64(3), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/113.772_+041.974.png          0 [np.int64(-1), np.int64(0), np.int64(0), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/113.918_+025.171.png          0 [np.int64(-1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/114.077_+024.185.png          0 [np.int64(-1), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/114.242_+043.484.png          0 [np.int64(0), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/114.330_+029.492.png          0 [np.int64(0), np.int64(0), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/114.706_+041.985.png          0 [np.int64(1), np.int64(-1), np.int64(2), np.int64(-1)]
