CGD-generated set: 32 images (epoch 290)
MSE: mean=0.003002 std=0.000872
NCC: mean=0.7250 std=0.0392
generated_class0_000_290.fits	MSE=0.002261	NCC=0.7166
generated_class0_001_290.fits	MSE=0.003135	NCC=0.7559
generated_class0_002_290.fits	MSE=0.002558	NCC=0.7280
generated_class0_003_290.fits	MSE=0.002258	NCC=0.7164
generated_class0_004_290.fits	MSE=0.002471	NCC=0.7145
generated_class0_005_290.fits	MSE=0.002293	NCC=0.7136
generated_class0_006_290.fits	MSE=0.002115	NCC=0.7488
generated_class0_007_290.fits	MSE=0.002806	NCC=0.7630
generated_class0_008_290.fits	MSE=0.002617	NCC=0.8111
generated_class0_009_290.fits	MSE=0.002318	NCC=0.7723
generated_class0_010_290.fits	MSE=0.002251	NCC=0.6974
generated_class0_011_290.fits	MSE=0.002210	NCC=0.7292
generated_class0_012_290.fits	MSE=0.002313	NCC=0.6972
generated_class0_013_290.fits	MSE=0.002800	NCC=0.7138
generated_class0_014_290.fits	MSE=0.002299	NCC=0.6860
generated_class0_015_290.fits	MSE=0.002143	NCC=0.7452
generated_class1_000_290.fits	MSE=0.004541	NCC=0.6743
generated_class1_001_290.fits	MSE=0.002852	NCC=0.7290
generated_class1_002_290.fits	MSE=0.003036	NCC=0.7347
generated_class1_003_290.fits	MSE=0.005108	NCC=0.7834
generated_class1_004_290.fits	MSE=0.004472	NCC=0.6570
generated_class1_005_290.fits	MSE=0.003529	NCC=0.6943
generated_class1_006_290.fits	MSE=0.002852	NCC=0.7364
generated_class1_007_290.fits	MSE=0.002955	NCC=0.7131
generated_class1_008_290.fits	MSE=0.004285	NCC=0.8030
generated_class1_009_290.fits	MSE=0.002147	NCC=0.6752
generated_class1_010_290.fits	MSE=0.002504	NCC=0.7236
generated_class1_011_290.fits	MSE=0.003292	NCC=0.7129
generated_class1_012_290.fits	MSE=0.004937	NCC=0.7117
generated_class1_013_290.fits	MSE=0.002898	NCC=0.6782
generated_class1_014_290.fits	MSE=0.003398	NCC=0.6640
generated_class1_015_290.fits	MSE=0.004397	NCC=0.8007
