EDM-generated set: 32 images (final)
MSE: mean=0.002706 std=0.000430
NCC: mean=0.7633 std=0.0522
generated_class0_000.fits	MSE=0.002523	NCC=0.7057
generated_class0_001.fits	MSE=0.002682	NCC=0.6663
generated_class0_002.fits	MSE=0.002369	NCC=0.7858
generated_class0_003.fits	MSE=0.002601	NCC=0.7557
generated_class0_004.fits	MSE=0.002282	NCC=0.7237
generated_class0_005.fits	MSE=0.002875	NCC=0.7136
generated_class0_006.fits	MSE=0.002785	NCC=0.7273
generated_class0_007.fits	MSE=0.002530	NCC=0.7015
generated_class0_008.fits	MSE=0.002464	NCC=0.7817
generated_class0_009.fits	MSE=0.002019	NCC=0.7819
generated_class0_010.fits	MSE=0.001944	NCC=0.7687
generated_class0_011.fits	MSE=0.002535	NCC=0.7377
generated_class0_012.fits	MSE=0.002532	NCC=0.7148
generated_class0_013.fits	MSE=0.002467	NCC=0.7625
generated_class0_014.fits	MSE=0.002364	NCC=0.7975
generated_class0_015.fits	MSE=0.002921	NCC=0.7272
generated_class1_000.fits	MSE=0.002269	NCC=0.6816
generated_class1_001.fits	MSE=0.002352	NCC=0.8088
generated_class1_002.fits	MSE=0.002863	NCC=0.7731
generated_class1_003.fits	MSE=0.002791	NCC=0.7856
generated_class1_004.fits	MSE=0.003171	NCC=0.8629
generated_class1_005.fits	MSE=0.003409	NCC=0.8366
generated_class1_006.fits	MSE=0.003616	NCC=0.7679
generated_class1_007.fits	MSE=0.002341	NCC=0.8530
generated_class1_008.fits	MSE=0.002995	NCC=0.7257
generated_class1_009.fits	MSE=0.002954	NCC=0.7806
generated_class1_010.fits	MSE=0.002390	NCC=0.7452
generated_class1_011.fits	MSE=0.002681	NCC=0.7600
generated_class1_012.fits	MSE=0.003382	NCC=0.8153
generated_class1_013.fits	MSE=0.002538	NCC=0.7901
generated_class1_014.fits	MSE=0.003779	NCC=0.8903
generated_class1_015.fits	MSE=0.003178	NCC=0.6984
